count,country,ship
    192,"USA","ANSAC PRIDE"
    104,"USA","ARAMIS"
    125,"USA","ASIA PEARL I"
    111,"USA","AS VIRGINIA"
    252,"USA","ATLANTIC ALTAMIRA"
     77,"USA","ATLANTIC DREAM"
     20,"USA","ATLANTIC OASIS"
    133,"USA","ATLANTIC SUPERIOR"
     48,"USA","ATLANTIC TREASURE"
    120,"USA","AVLEMON"
      8,"USA","BALTIC HARE"
    125,"USA","BALTIC K"
    186,"USA","BANOS A"
    214,"USA","BEDFORD CASTLE"
    123,"USA","BEI LUN HAI 10"
    242,"USA","BEKS CENK"
    120,"USA","BERNHARD OLDENDORFF"
     34,"USA","BLACK PEARL"
    120,"USA","BONANZA YR"
     38,"USA","BRAVERY"
     91,"USA","BRITANNIA G"
    234,"USA","BULK HONDURAS"
     38,"USA","BULK PATRIOT"
    122,"USA","CAPE BRITANNIA"
    106,"USA","CAPE YORK"
    182,"USA","CASTA DIVA"
     73,"USA","CECELA S"
     88,"USA","CECILIA B"
     68,"USA","CHILOE ISLAND"
    100,"USA","CHIOS LUCK"
     98,"USA","CLEARWATER BAY"
    120,"USA","CLIFTON BAY"
     80,"USA","CLIPPER PHOENIX"
    133,"USA","CLIPPER TRADER"
     66,"USA","COPACABANA"
    121,"USA","CS CHARA"
    208,"USA","DENSA CHEETAH"
    102,"USA","DESERT HOPE"
    126,"USA","EPSON TRADER II"
     17,"USA","ER NAZIRE"
     83,"USA","EVER SHINING"
    125,"USA","FEDERAL BAFFIN"
    238,"USA","FEDERAL LEDA"
     74,"USA","FEDERAL YOSHINO"
    113,"USA","FURNESS PORTLAND"
     93,"USA","GADWALL"
     92,"USA","GALATEIA"
    114,"USA","GENCO CHAMPION"
    106,"USA","GENCO KNIGHT"
     24,"USA","GENCO PROSPERITY"
    240,"USA","GENCO RHONE"
     60,"USA","GENCO SURPRISE"
    135,"USA","GIORGOS DRACOPOULOS"
    121,"USA","GLADIATORSHIP"
    121,"USA","GLOBAL SAIKAI"
    252,"USA","GLOBAL TRINITY"
    206,"USA","GLORIOUS PLUMERIA"
      8,"USA","GOLDEN KIKU"
    102,"USA","GROWTH RING"
    288,"USA","GUARDIANSHIP"
     66,"USA","HARRIETT"
     28,"USA","HARVEST MOON"
     14,"USA","HARVEST SUN"
    240,"USA","IKAN ACAPULCO"
     85,"USA","INTREPID EAGLE"
    230,"USA","IOANNIS THEO"
    266,"USA","ISS  SPIRIT"
    212,"USA","JAMAICA BAY"
    252,"USA","JEWEL OF DUBAI"
    154,"USA","KAPETAN TRADER III"
     33,"USA","KEY MISSION"
     51,"USA","KINATSI"
    288,"USA","KING BATON ROUGE"
     78,"USA","KM HONGKONG"
     55,"USA","LAST TYCOON"
      6,"USA","LILLIAN"
     72,"USA","LIVADI"
    163,"USA","LOCH MELFORT"
     63,"USA","LONGKOU"
    218,"USA","LONG LUCKY"
    116,"USA","MAIA"
    189,"USA","MANDARIN CHINA"
     74,"USA","MANDARIN SKY"
    210,"USA","MAPLE GROVE"
    176,"USA","MAPLE ISLAND"
     77,"USA","MARINICKI"
    220,"USA","MATAKANA ISLAND"
     54,"USA","MEDAN EXPRESS"
    174,"USA","MEDI HAKATA"
     47,"USA","MOBILE PEARL"
     10,"USA","MONTROSE"
    174,"USA","MV DRACO OCEAN"
      8,"USA","MV SANTIAGO"
     29,"USA","NALINEE NAREE"
     33,"USA","NAVIOS VECTOR"
     12,"USA","NEW CALEDONIA MARU"
    252,"USA","NEW INSPIRATION"
     68,"USA","NEW VENTURE"
    107,"USA","NORD SAVANNAH"
    234,"USA","NORD VOYAGER"
     14,"USA","N SCHELDE"
    248,"USA","OCEAN HAWK"
     78,"USA","OCEAN KITE"
     72,"USA","OCEAN LION"
     42,"USA","OCEAN OPAL"
    135,"USA","OCEAN PRINCE"
     22,"USA","OCEAN TRADER I"
      3,"USA","OCEAN WEALTH"
    334,"USA","OLYMPIC PRIDE"
     76,"USA","ORIENT CHAMPION"
     90,"USA","ORIENTE GLORIA"
    150,"USA","ORIENT TIDE"
     51,"USA","OSTRIA S"
     32,"USA","PARADISE ISLAND"
     12,"USA","PAROS"
    226,"USA","PATIENCE LAKE"
    248,"USA","PEDHOULAS LEADER"
    175,"USA","PORTOROZ"
    238,"USA","PORT RICHMOND"
    121,"USA","PRETTY TEAM"
    118,"USA","PRISCILLA VENTURE"
     15,"USA","PROSPECTOR II"
    137,"USA","QUINN J"
    234,"USA","QU SHAN HAI"
     71,"USA","RENATE"
    234,"USA","ROBLE N"
     75,"USA","RONG HAI"
     34,"USA","SANTA EMILIA"
     28,"USA","SANTIAGO BASIN"
    121,"USA","SCARLET CARDINAL"
    240,"USA","SEA NEPTUNE"
    324,"USA","SHENG CHENG HAI"
    100,"USA","SHI ZI SHAN"
    132,"USA","SIMURGH"
     17,"USA","SITC ZHOUSHAN"
    102,"USA","SKS TWEED"
     99,"USA","SOUTHERN WISDOM"
     86,"USA","SPRING BREEZE"
    238,"USA","STAR OF SAWARA"
     13,"USA","SUN MASTER"
     18,"USA","SUPER GRACE"
      6,"USA","SYROS I"
    174,"USA","TAI SHINE"
     32,"USA","TC GOLD"
     56,"USA","TENKI MARU"
    246,"USA","TENMYO MARU"
    114,"USA","TEXASENTERPRISE"
     40,"USA","THEODOR OLDENDORFF"
    108,"USA","TOKOMARU BAY"
    136,"USA","TONG HAI"
    100,"USA","TRADE VISION"
    126,"USA","TRANS SHANGHAI"
     36,"USA","TRIDENT LEGACY"
    103,"USA","TTM DRAGON"
     79,"USA","TYANA"
     36,"USA","UBC SALAVERRY"
     54,"USA","UBC TILBURY"
      8,"USA","ULTRA PANTHER"
     33,"USA","UMANG"
     78,"USA","UNION ERWIN"
    120,"USA","UNITED SERENITY"
    218,"USA","VEGA AQUARIUS"
    240,"USA","VERONIQUE D"
     13,"USA","VITOSHA"
     54,"USA","VITTORIA"
    124,"USA","WESTERN KOBE"
    119,"USA","XIN HUA"
     34,"USA","YASA EMIRHAN"
      8,"USA","YONG HUAN"
     12,"USA","YUTAI BREEZE"
     32,"USA","ZHOUSHAN ISLAND"
    119,"VENEZUELA","AMBER HALO"
    121,"VENEZUELA","AS ELENIA"
     31,"VENEZUELA","AURILIA"
     70,"VENEZUELA","AVRA"
      2,"VENEZUELA","CLIPPER IZUMO"
    135,"VENEZUELA","CROWNED EAGLE"
    106,"VENEZUELA","DARYA GAYATRI"
    124,"VENEZUELA","FEDERAL SPRUCE"
     61,"VENEZUELA","GENCO CHALLENGER"
     67,"VENEZUELA","GLOBETROTTER"
     82,"VENEZUELA","HANZE GOSLAR"
     77,"VENEZUELA","LOUISE BULKER"
    139,"VENEZUELA","MONICA P"
     16,"VENEZUELA","OLZA"
     88,"VENEZUELA","ORIENT ALLIANCE"
     46,"VENEZUELA","SAN NIKOLAS"
     12,"VENEZUELA","SEA MERAY"
     40,"VENEZUELA","SEA PROSPERITY"
     67,"VENEZUELA","STARWAY"
    122,"VENEZUELA","THRASHER"
     47,"VENEZUELA","TRUDY"
    122,"VENEZUELA","WU CHANG HAI"
     10,"VIETNAM","ACHAT"
      1,"VIETNAM","AN THANG 68"
     18,"VIETNAM","BEST TRAVELLER"
      2,"VIETNAM","COLUMBIA RIVER"
      2,"VIETNAM","DEVELOPMENT"
     24,"VIETNAM","GENCO EXPLORER"
    158,"VIETNAM","ID PIONEER"
      1,"VIETNAM","MEDI OKINAWA"
      2,"VIETNAM","NASHICO08"
      3,"VIETNAM","PRINCE OF TOKYO"
      4,"VIETNAM","TAN BINH 38"
      2,"VIETNAM","THANH CONG 45"
    109,"VIETNAM","TITAN"
      3,"VIETNAM","TROPICAL BREEZE"
    240,"VIETNAM","UNICORN EMERALD"
      1,"VIETNAM","VINALINES MIGHTY"
      2,"VIETNAM","VINH 02"
      1,"VIETNAM","VOC DAISY"
      8,"VIETNAM","XING YANG 7"
      6,"VIETNAM","XUAN HIEU GROUP 19"
     16,"WAITING","ALBANY PIONEER"
    224,"WAITING","ARTVIN"
    212,"WAITING","BEIHAI"
    196,"WAITING","BEILUN SEA LION"
     68,"WAITING","GREAT REWARD"
    496,"WAITING","TAO STAR"
