destination,shipCount,lat,lon
ONSLOW,1,42.1068,-91.015
ORISTANO,1,39.906,8.5913
OSHAWA,1,43.9,-78.849
OSKARSHAMN,1,57.264,16.448
P'OHANG,1,36.032,129.365
PADANG,4,-0.949,100.354
PAITA,2,-5.089,-81.114
PALEMBANG,3,-2.916,104.745
PALMA,1,39.5715,2.6469
PANAJI,2,15.483,73.833
PANJANG,6,-5.4759,105.3198
PANJIN,1,41.12,122.0707
PARADIP,42,20.316,86.616
PARAMARIBO,2,5.866,-55.166
PARANAGUA,73,-25.52,-48.509
PARANAGUA   %  ,1,-25.52,-48.509
PASCAGOULA,4,30.3656,-88.5565
PENANG,2,-9.8446,120.2464
PENG LAI,1,37.808,120.75
PENGLAI,1,37.808,120.75
PHUKET,1,7.89,98.398
PIRAEUS,20,37.947,23.637
PISCO,1,-13.7,-76.216
POHANG,13,36.032,129.365
POINT COMFORT,7,28.6827,-96.553
POINTE NOIRE,15,-4.794,11.846
POLICE,5,53.552,14.571
PONTIANAK,2,-0.033,109.333
PORBANDAR,6,21.642,69.609
PORT ALBERNI,1,49.241,-124.802
PORT ALFRED,9,-33.6,26.9
PORT ARTHUR,9,29.8994,-93.9295
PORT AU PRINCE,3,18.539,-72.335
PORT DICKSON,1,2.5299,101.8004
PORT H,2,51.6152,-3.4113
PORT HARCOURT,8,4.777,7.013
PORT  HURON,1,42.9758,-82.4284
PORT HURON,1,42.9758,-82.4284
PORT LOUIS,27,-20.161,57.498
PORT MORESBY,5,-9.443,147.179
PORT OF SPAIN,2,10.666,-61.516
PORT SAID,48,31.28,32.307
PORT SUDAN,7,19.615,37.216
PORT TALBOT,6,51.5914,-3.8023
PORT_SAID,1,31.28,32.307
PORT_SUDAN,1,19.615,37.216
PORT>SAID,1,31.28,32.307
PORTDICKSON,1,2.5299,101.8004
PORTGENTIL,1,-0.716,8.783
PORTMORESBY,1,-9.443,147.179
PORTO ALEGRE,3,-30.033,-51.23
PORTO TORRES,1,40.8335,8.4022
PORTOALEGRE,1,-30.033,-51.23
PORTOF SPAIN,1,10.666,-61.516
PORTSAID,4,31.28,32.307
PORTSUDAN,1,19.615,37.216
POTI,4,42.146,41.671
POZZALLO,6,36.7339,14.8542
PRAIA,2,14.921,-23.508
PUERTO BARRIOS,1,15.7278,-88.5944
PUERTO BOLIVAR,16,-3.2665,-79.9975
PUERTO  CABELLO,1,10.473,-68.012
PUERTO CABELLO,25,10.473,-68.012
PUERTO LA CRUZ,1,10.216,-64.616
PUERTO LIMON,1,9.9907,-83.036
PUERTO MADRYN,1,-42.766,-65.05
PUERTO MONTT,2,-41.471,-72.936
PUERTO PADRE,1,21.195,-76.602
PUERTO PLATA,1,19.8,-70.683
PUERTO_CABELLO,2,10.473,-68.012
PUERTO-CABELLO,1,10.473,-68.012
PUERTOBOLIVAR,1,-3.2665,-79.9975
PUERTOLACRUZ,1,10.216,-64.616
PUNTA ARENAS,1,-53.15,-70.916
PUNTA CARDON,2,11.658,-70.215
PUNTA DE PIEDRA,1,7.6176,-71.4916
PUSAN,18,35.1025,129.0349
PUSAN      :,1,35.1025,129.0349
PUTTALAM,1,8.036,79.828
QI DONG,1,31.811,121.655
QIN HUANG DAO,33,39.931,119.588
QIN  ZHOU,1,21.95,108.616
QIN ZHOU,8,21.95,108.616
QING   DAO,1,36.098,120.371
QING DAO,11,36.098,120.371
QINGDAO,157,36.098,120.371
QINGDAO            !,1,36.098,120.371
QINGDAO  (^;^),1,36.098,120.371
QINHUANGDAO,25,39.931,119.588
QINZHOU,7,21.95,108.616
QUAN ZHOU,2,24.913,118.585
QUANZHOU,4,24.913,118.585
QUEBEC,11,46.812,-71.214
QUEBEC CITY,5,46.812,-71.214
QUY NHON,1,13.766,109.233
RADES,4,36.768,10.275
RAMALLO,2,-33.4848,-60.0071
RAS AL KHAYMAH,1,25.791,55.942
RAYONG,1,12.68,101.257
RAYONG............. ,1,12.68,101.257
RECIFE,8,-8.053,-34.881
REDCAR,2,54.614,-1.0682
RENI,1,45.45,28.283
RI ZHAO,13,35.427,119.455
RI ZHAO.,2,35.427,119.455
RICHARD'S BAY,4,-28.8,32.1
RICHARDS  BAY,3,-28.8,32.1
RICHARDS BAY,91,-28.8,32.1
RICHARDS0BAY,1,-28.8,32.1
RICHARDS-BAY,1,-28.8,32.1
RICHARDSBAY,1,-28.8,32.1
RIJEKA,1,45.343,14.409
RIO BUENO,1,-40.316,-72.966
RIO DE JANEIRO,7,-22.902,-43.207
RIO DE JANEIRO     !,1,-22.902,-43.207
RIVER ROUGE,1,42.2728,-83.1345
RIZHAO,39,35.427,119.455
ROSTOCK,6,54.0791,12.1322
ROSTOV,4,57.191,39.413
ROSTOV ON DON,4,47.236,39.713
ROSTOV_ON_DON,2,47.236,39.713
ROSTOV-NA-DONU,1,47.236,39.713
ROUEN,12,49.4401,1.0894
RUNCORN,1,53.3416,-2.7318
SABINE PASS,1,29.7339,-93.8942
SAFAGA,5,26.733,33.933
SAFI,10,32.299,-9.237
SAGUNTO,3,39.68,-0.2784
SAI GON,2,10.75,106.666
SAIJO,1,33.9198,133.1811
SALALAH,12,17.015,54.092
SALAVERRY,4,-8.221,-78.977
SALDANHA,2,-33.016,17.95
SALERNO,2,40.6735,14.7713
SAMARINDA,85,-0.5,117.15
SAMSUN,2,41.286,36.33
SAN PEDRO DE MACORIS,1,18.461,-69.297
SANDAKAN,1,5.84,118.117
SANGATTA,1,0.5049,117.5279
SANTANDER,3,43.4616,-3.8101
SANTIAGO DE CUBA,2,20.024,-75.821
SANTOS,132,-23.96,-46.333
SAO FRANCISCO,4,-15.948,-44.864
SAO FRANCISCO DO SUL,15,-26.243,-48.638
SAO LUIS,3,-2.529,-44.302
SAO.FRANCISCO.DO.SUL,1,-26.243,-48.638
SAOLUIS,1,-2.529,-44.302
SAPELE,1,5.894,5.676
SARNIA,2,42.978,-82.404
SATUI,2,-3.7818,115.4575
SEATTLE,3,47.6036,-122.3295
SEMARANG,2,-6.993,110.42
SEPT ILES,5,50.2,-66.382
SEPT-ILES,1,50.2,-66.382
SEPT.ILES,1,50.2,-66.382
SERUI,1,-1.8802,136.2426
SETE,1,43.399,3.6962
SETUBAL,4,38.5229,-8.8879
SFAX,5,34.74,10.76
SHAKHTERSK,2,48.046,38.468
SHAN WEI,1,22.781,115.347
SHANG HAI,16,31.222,121.458
SHANGHAI,34,31.222,121.458
SHANGHAI ,1,31.222,121.458
SHANTOU,3,23.368,116.714
SHANWEI,1,22.781,115.347
SHARJAH,2,25.362,55.391
SHEN ZHEN,3,22.545,114.068
SHEN_ZHEN,1,22.545,114.068
SHENZHEN,2,22.545,114.068
SHIPYARD,1,17.8938,-88.6545
SIBOLGA,1,1.742,98.779
SILLAMAE,2,59.399,27.754
SINGAPORE,1060,1.289,103.85
SIRACHA,1,13.173,100.931
SKELLEFTEA,1,64.75,20.952
SKIKDA,5,36.876,6.909
SOLOMON,2,38.916,-97.3717
SOREL TRACY,1,46.033,-73.115
SOUSSE,2,35.825,10.636
SOUTH HAMPTON,1,42.8809,-70.9611
SPLIT,2,43.508,16.439
ST ROSE,1,29.9465,-90.3171
STURGEON  BAY,1,44.8352,-87.3704
STURGEON BAY,1,44.8352,-87.3704
SUBIC,3,14.879,120.234
SUEZ,34,29.966,32.55
SUNDSVALL,3,62.391,17.306
SURATTHANI,1,9.14,99.333
SUVA,1,-18.141,178.441
SWINOUJSCIE,8,53.91,14.247
SYRIA,1,38.491,-78.3317
SYZRAN,2,53.173,48.474
SZCZECIN,5,53.428,14.553
TACOMA,4,47.2551,-122.4416
TAIXING,3,32.166,120.013
TAIXING ,1,32.166,120.013
TALCAHUANO,1,-36.716,-73.116
TAMAN,1,-7.0748,114.0421
TARAKAN,4,3.3,117.633
TARANTO,12,40.4654,17.2505
TARRAGONA,5,41.1169,1.2541
TARTOUS,4,34.889,35.886
TARTUS,1,34.889,35.886
TAURANGA,12,-37.6828,176.1688
TAURANGA           4,1,-37.6828,176.1688
TENERIFE,9,28.4608,-16.2639
TERNEUZEN,2,51.335,3.827
TEXAS,2,45.0756,-89.561
TEXAS CITY,2,29.3928,-94.9251
TEXASCITY,1,29.3928,-94.9251
THA SALA,1,8.6673,99.9308
THASALA,1,8.6673,99.9308
THESSALONIKI,7,40.64,22.943
THUNDER B AY,1,48.4,-89.316
THUNDER  BAY,1,48.4,-89.316
THUNDER BAY,33,48.4,-89.316
THUNDERBAY,6,48.4,-89.316
TIAN   JIN,1,39.142,117.176
TIAN  JIN,1,39.142,117.176
TIAN JIN,38,39.142,117.176
TIAN JIN       ,1,39.142,117.176
TIANJIN,71,39.142,117.176
TILBURY,4,51.4639,0.3502
TIMARU,1,-44.3946,171.2516
TOAMASINA,2,-18.166,49.383
TOCOPILLA,12,-22.091,-70.197
TOCOPILLA          !,1,-22.091,-70.197
TOLIARA,1,-23.35,43.666
TOMAKOMAI,2,42.6341,141.6056
TOPOLOBAMPO,5,25.6008,-109.0523
TOWNSVILLE,5,-19.25,146.8
TOYAMA,1,36.6959,137.2137
TRELLEBORG,0,55.375,13.156
